Esquadro de Lâmina,,Stanley,ESQ-187,ESQ-187,N/C,N/C,METRUS,D0688021-0619,2019-06-10,2021-11-26,ALMOXARIFADO
Esquadro de Precisão,,N/C,ESQ-027,ESQ-027,N/C,N/C,METRUS,D0688009-1118,2018-11-13,2020-11-02,ALMOXARIFADO
Esquadro de Precisão,,N/C,ESQ-110/A,ESQ-110/A,N/C,N/C,METRUS,D0688010-1118,2018-11-13,2020-11-02,ALMOXARIFADO
Esquadro de Precisão,,Starrett,ESQ-302,ESQ-302,N/C,3020,LAFTEC,2415679,2024-06-14,2026-06-04,OBRA 118
Esquadro de Precisão,,Starrett,ESQ-303,ESQ-303,N/C,53M-300,METRUS,2311802,2023-05-11,2025-04-30,OBRA 118
Esquadro de Precisão,,Starrett,ESQ-304,ESQ-304,N/C,53M-300,LAFTEC,2311803,2023-05-12,2025-05-01,OBRA 118
Esquadro de Precisão,,Starrett,ESQ-305,ESQ-305,N/C,53M-300,LAFTEC,2311804,2023-05-13,2025-05-02,OBRA 118
Esquadro de Precisão,,Starrett,ESQ-306,ESQ-306,N/C,53M-300,LAFTEC,2311805,2023-05-14,2025-05-03,OBRA 118
Esquadro de Precisão,,Starrett,ESQ-307,ESQ-307,N/C,53M-300,LAFTEC,2311806,2023-05-15,2025-05-04,OBRA 118
Esquadro de Precisão,,Starrett,ESQ-308,ESQ-308,N/C,53M-300,LAFTEC,2415680,2024-06-18,2026-06-08,OBRA 118
Fluxometro (Bibimetro),,N/C,FLX-001,FLX-001,N/C,N/C,LAFTEC,2224243,2022-10-24,2023-10-24,OBRA 118
Fluxometro (Bibimetro),,MATEC,MDV-001,MDV-001,N/C,SI-100,LAFTEC,2427404,2024-08-30,2025-08-30,OBRA 118
Fluxometro (Bibimetro),,,FLX-002,FLX-002,N/C,,LAFTEC,2438631,2024-11-29,2025-11-29,OBRA 118
Fluxometro (Bibimetro),,,FLX-003,FLX-003,N/C,,LAFTEC,2438632,2024-11-29,2025-11-29,OBRA 118
Fluxometro (Bibimetro),,,FLX-004,FLX-004,N/C,,LAFTEC,2438633,2024-11-29,2025-11-29,ALMOXARIFADO
Goniometro (Transferidor de Grau),,,629,629,4-801074,170-070,LAFTEC,2415685,2024-06-14,2025-06-14,OBRA 118
Transferidor de Grau,,Protactor,GO-001,GO-001,5001,NO-5001,METRUS,D0688002-0122,2022-01-12,2024-01-02,ALMOXARIFADO
Haste Padrão,,N/C,1837/A,1837/A,N/C,N/C,METRUS,D0688011-0620,2020-07-08,2021-07-03,ALMOXARIFADO
Haste Padrão,,Insize,1918/1,1918/1,N/C,N/C,LAFTEC,2302060,2023-01-26,2024-01-21,ALMOXARIFADO
Haste Padrão,,Insize,1918/2,1918/2,N/C,N/C,LAFTEC,2302061,2023-01-26,2024-01-21,ALMOXARIFADO
Haste Padrão,,Digimess,319/1,319/1,N/C,NC,LAFTEC,2302062,2023-01-26,2024-01-26,ALMOXARIFADO
Haste Padrão,,Digimess,319/2,319/1,N/C,NC,LAFTEC,2302063,2023-01-26,2024-01-26,ALMOXARIFADO
Haste Padrão,,N/C,1837/B,1837/B,N/C,N/C,METRUS,D0688012-0620,2020-07-08,2021-07-03,ALMOXARIFADO
Haste Padrão,200 mm | 200 mm,Digimess,1835-1,1835-1,N/C,N/C,LAFTEC,2506017,2025-02-27,2026-02-22,ALMOXARIFADO
Haste Padrão,220 mm | 220 mm,Digimess,1835-2,1835-2,N/C,N/C,LAFTEC,2506018,2025-02-27,2026-02-22,ALMOXARIFADO
